Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
UB-457x191x67,67.1,453.4,189.9,8.5,12.7,85.5
UB-457x191x74,74.3,457.0,190.4,9.0,14.5,94.6
UB-457x191x82,82.0,460.0,191.3,9.9,16.0,104.5
UB-457x191x89,89.3,463.4,191.9,10.5,17.7,113.8
UB-457x191x98,98.3,467.2,192.8,11.4,19.6,125.3
UB-533x210x82,82.2,528.3,208.8,9.6,13.2,104.7
UB-533x210x92,92.1,533.1,209.3,10.1,15.6,117.4
UB-533x210x101,101,536.7,210.0,10.8,17.4,128.7
UB-533x210x109,109,539.5,210.8,11.6,18.8,138.9
UB-533x210x122,122,544.5,211.9,12.7,21.3,155.4
UB-610x229x101,101,602.6,227.6,10.5,14.8,128.9
UB-610x229x113,113,607.6,228.2,11.1,17.3,143.9
UB-610x229x125,125,612.2,229.0,11.9,19.6,159.3
UB-610x229x140,140,617.2,230.2,13.1,22.1,178.2
UB-610x305x149,149,612.4,304.8,11.8,19.7,190.0
UB-610x305x179,179,620.2,307.1,14.1,23.6,228.1
UB-610x305x238,238,635.8,311.4,18.4,31.4,303.3
UB-686x254x125,125,677.9,253.0,11.7,16.2,159.5
UB-686x254x140,140,683.5,253.7,12.4,19.0,178.4
UB-686x254x152,152,687.5,254.5,13.2,21.0,194.1
UB-686x254x170,170,692.9,255.8,14.5,23.7,216.8
UB-762x267x134,134,750.0,264.4,12.0,15.5,170.6
UB-762x267x147,147,754.0,265.2,12.8,17.5,187.2
UB-762x267x173,173,762.2,266.7,14.3,21.6,220.4
UB-762x267x197,197,769.8,268.0,15.6,25.4,250.6
UB-838x292x176,176,834.9,291.7,14.0,18.8,224.0
UB-838x292x194,194,840.7,292.4,14.7,21.7,246.8
UB-838x292x226,226,850.9,293.8,16.1,26.8,288.6
UB-914x305x201,201,903.0,303.3,15.1,20.2,255.9
UB-914x305x224,224,910.4,304.1,15.9,23.9,285.6
UB-914x305x238,238,915.0,305.0,16.5,25.9,303.5
UB-914x305x253,253,918.4,305.5,17.3,27.9,322.8
UB-914x305x271,271,923.0,307.0,18.4,30.0,346.1
UB-914x305x289,289,926.6,307.7,19.5,32.0,368.3
UB-914x305x313,313,932.0,309.0,21.1,34.5,398.4
UB-914x305x345,345,943.0,308.0,22.1,39.9,439.7
UB-914x305x381,381,951.0,310.0,24.4,43.9,485.9
UB-914x305x425,425,961.0,313.0,26.9,49.0,542.0
UB-914x305x474,474,971.0,316.0,30.0,54.1,603.9
UB-914x305x521,521,981.0,319.0,33.0,58.9,663.7
UB-914x305x576,576,993.0,322.0,36.1,65.0,733.2
UB-914x419x343,343,911.8,418.5,19.4,32.0,437.3
UB-914x419x388,388,921.0,420.5,21.4,36.6,494.2
UB-1016x305x222,222,970.0,300.0,16.0,21.1,282.8
UB-1016x305x249,249,980.0,300.0,16.5,26.0,316.8
UB-1016x305x272,272,990.0,300.0,16.5,31.0,346.8
UB-1016x305x314,314,1000.0,300.0,19.1,35.9,400.4
UB-1016x305x350,350,1008.0,302.0,21.1,40.0,445.1
UB-1016x305x393,393,1016.0,303.0,24.4,43.9,500.2
UB-1016x305x415,415,1020.0,304.0,26.0,46.0,528.7
UB-1016x305x438,438,1026.0,305.0,26.9,49.0,556.3
UB-1016x305x494,494,1036.0,309.0,31.0,54.0,629.1
UB-1016x305x584,584,1056.0,314.0,36.0,64.0,743.7
