Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2),
H-200x80x10,38.1,200,80,10,10,48.57,
H-200x100x4,18,200,100,4,4,22.95,
H-200x100x5,22.3,200,100,5,5,28.36,
H-200x100x6,26.4,200,100,6,6,33.63,
H-200x100x6.3,27.4,200,100,6.3,6.3,34.85,
H-200x100x7.1,30.5,200,100,7.1,7.1,38.85,
H-200x100x8,34,200,100,8,8,43.24,
H-200x100x8.8,36.9,200,100,8.8,8.8,47.04,
H-200x100x10,41.3,200,100,10,10,52.57,
H-200x100x12.5,48.7,200,100,12.5,12.5,62.04,
H-200x120x5,23.8,200,120,5,5,30.36,
H-200x120x6,28.3,200,120,6,6,36.03,
H-200x120x6.3,29.3,200,120,6.3,6.3,37.37,
H-200x120x7.1,32.7,200,120,7.1,7.1,41.69,
H-200x120x8,36.5,200,120,8,8,46.44,
H-200x120x8.8,39.7,200,120,8.8,8.8,50.56,
H-200x120x10,44.4,200,120,10,10,56.57,
H-200x120x12.5,52.6,200,120,12.5,12.5,67,
H-220x120x5,25.4,220,120,5,5,32.36,
H-220x120x6,30.2,220,120,6,6,38.43,
H-220x120x6.3,31.3,220,120,6.3,6.3,39.89,
H-220x120x7.1,35,220,120,7.1,7.1,44.53,
H-220x120x8,39,220,120,8,8,49.64,
H-220x120x8.8,42.5,220,120,8.8,8.8,54.08,
H-220x120x10,47.5,220,120,10,10,60.57,
H-250x100x5,26.18,250,100,5,5,33.36,
H-250x100x6,31.11,250,100,6,6,39.63,
H-250x100x8,40.23,250,100,8,8,51.24,
H-250x100x10,49.11,250,100,10,10,62.57,
H-250x150x5,30.1,250,150,5,5,38.36,
H-250x150x6,35.8,250,150,6,6,45.63,
H-250x150x6.3,37.3,250,150,6.3,6.3,47.45,
H-250x150x7.1,41.6,250,150,7.1,7.1,53.05,
H-250x150x8,46.5,250,150,8,8,59.24,
H-250x150x8.8,50.8,250,150,8.8,8.8,64.64,
H-250x150x10,57,250,150,10,10,72.57,
H-250x150x12.5,68.3,250,150,12.5,12.5,87.04,
H-260x140x6,35.8,260,140,6,6,46.63,
H-260x140x6.3,37.3,260,140,6.3,6.3,47.45,
H-260x140x7.1,41.6,260,140,7.1,7.1,53.05,
H-260x140x8,46.5,260,140,8,8,59.24,
H-260x140x8.8,50.8,260,140,8.8,8.8,64.64,
H-260x140x10,57,260,140,10,10,72.57,
H-260x140x12.5,68.3,260,140,12.5,12.5,87.04,
H-260x180x6,39.6,260,180,6,6,50.43,
H-260x180x6.3,41.2,260,180,6.3,6.3,52.49,
H-260x180x7.1,46.1,260,180,7.1,7.1,58.73,
H-260x180x8,51.5,260,180,8,8,65.64,
H-260x180x8.8,56.3,260,180,8.8,8.8,71.68,
H-260x180x10,63.2,260,180,10,10,80.57,
H-300x100x5,30.1,300,100,5,5,38.36,
H-300x100x6,35.8,300,100,6,6,45.63,
H-300x100x6.3,37.3,300,100,6.3,6.3,47.45,
H-300x100x7.1,41.6,300,100,7.1,7.1,53.05,
H-300x100x8,46.5,300,100,8,8,59.24,
H-300x100x8.8,50.8,300,100,8.8,8.8,64.64,
H-300x100x10,57,300,100,10,10,72.57,
H-300x100x12.5,68.3,300,100,12.5,12.5,87.04,
H-300x150x6,40.5,300,150,6,6,51.63,
H-300x150x6.3,42.2,300,150,6.3,6.3,53.75,
H-300x150x7.1,47.2,300,150,7.1,7.1,60.15,
H-300x150x8,52.8,300,150,8,8,67.24,
H-300x150x10,64.8,300,150,10,10,82.57,
H-300x150x12.5,78.1,300,150,12.5,12.5,99.54,
H-300x200x6,45.2,300,200,6,6,57.63,
H-300x200x6.3,47.1,300,200,6.3,6.3,60.05,
H-300x200x7.1,52.8,300,200,7.1,7.1,67.25,
H-300x200x8,59.1,300,200,8,8,75.24,
H-300x200x8.8,64.6,300,200,8.8,8.8,82.24,
H-300x200x10,72.7,300,200,10,10,92.57,
H-300x200x12.5,88,300,200,12.5,12.5,112.04,
H-400x200x6,54.7,400,200,6,6,69.63,
H-400x200x6.3,57,400,200,6.3,6.3,72.65,
H-400x200x7.1,63.9,400,200,7.1,7.1,81.45,
H-400x200x8,71.6,400,200,8,8,91.24,
H-400x200x8.8,78.4,400,200,8.8,8.8,99.84,
H-400x200x10,88.4,400,200,10,10,112.57,
H-400x200x12.5,108,400,200,12.5,12.5,137.04,
